iter	Passed	Remaining
446	19410	2084
447	19447	2040
448	19490	1996
449	19532	1953
450	19574	1909
451	19617	1866
452	19663	1823
453	19706	1779
454	19748	1736
455	19795	1692
456	19846	1650
457	19887	1606
458	19928	1563
459	19969	1519
460	20018	1476
461	20061	1432
462	20104	1389
463	20148	1346
464	20194	1302
465	20237	1259
466	20288	1216
467	20341	1173
468	20382	1129
469	20424	1086
470	20470	1043
471	20514	999
472	20554	956
473	20599	912
474	20640	869
475	20696	826
476	20744	782
477	20789	739
478	20829	695
479	20872	652
480	20912	608
481	20956	565
482	20999	521
483	21040	478
484	21081	434
485	21126	391
486	21164	347
487	21212	304
488	21263	260
489	21305	217
490	21349	173
491	21393	130
492	21439	86
493	21484	43
494	21532	0
