iter	F1	Logloss
295	0.982860562	0.1335305468
296	0.982875072	0.1334921574
297	0.9828859547	0.1334399753
298	0.9829004655	0.1334252846
299	0.9829040932	0.133406609
300	0.9829131627	0.133386825
301	0.9829204185	0.133323909
302	0.9829258603	0.1332638835
303	0.9829385582	0.1331971931
304	0.9829494424	0.1331472139
305	0.9829512565	0.1331403666
306	0.9829585128	0.1330946529
307	0.9829403722	0.1330827685
308	0.9829440003	0.1330511702
309	0.9829476284	0.1330118266
310	0.9829530705	0.1329788813
311	0.9829621409	0.1329655657
312	0.9829693974	0.1329255206
313	0.9829712115	0.1328704902
314	0.9829748398	0.132841656
315	0.9829766539	0.132834009
316	0.982987539	0.1328137619
317	0.9829893532	0.1327817006
318	0.9829984242	0.132727049
319	0.9830056812	0.1327032661
320	0.9830201955	0.1326809985
321	0.9830238241	0.1326643996
322	0.9830274528	0.1326084712
323	0.9830401533	0.1325983125
324	0.9830401533	0.1325614806
325	0.9830492254	0.1325410231
326	0.9830528542	0.132523905
327	0.9830564831	0.1325051873
328	0.983060112	0.1324686641
329	0.9830582975	0.1324486415
330	0.9830637409	0.1324274404
331	0.9830691844	0.1324032926
332	0.9830746279	0.1323635562
333	0.983081886	0.132322136
334	0.9830855151	0.1323114162
335	0.9831054756	0.1322588131
336	0.9831127341	0.1322316487
337	0.9831163635	0.1322130293
338	0.9831254369	0.132169294
339	0.9831127341	0.1321384814
340	0.9831342587	0.1320971595
341	0.9831469618	0.1320528629
342	0.9831505913	0.1320047779
343	0.9831487765	0.1319658834
344	0.9831542208	0.1319392241
345	0.9831560356	0.131903234
346	0.9831578504	0.1318549525
347	0.9831796283	0.1318002027
348	0.9831887027	0.1317673276
349	0.9832014072	0.1317349155
350	0.9832193037	0.1316899454
351	0.983215927	0.1316782714
352	0.983217742	0.1316559337
353	0.983215927	0.131609785
354	0.9832195571	0.1315581361
355	0.9832213721	0.1315087182
356	0.9832286322	0.1314876573
357	0.9832340774	0.1314585285
358	0.9832358925	0.1314375799
359	0.9832537896	0.1313934096
360	0.9832519745	0.1313470504
361	0.9832771323	0.1312944334
362	0.9832807626	0.131264617
363	0.9832825778	0.1312423354
364	0.9832898386	0.1312031182
365	0.983293469	0.1311860703
366	0.9833043605	0.1311583165
367	0.9833098063	0.131135614
368	0.9833079911	0.1311308574
369	0.9833116216	0.1310957934
370	0.9833240736	0.1310442146
371	0.9833258889	0.1310339157
372	0.9833240736	0.1309995112
373	0.9833385963	0.1309402994
374	0.9833458578	0.1308931545
